AEB Requested;Ego Deceleration [m/s^2];Cycle (Tc=0.02s)
0;-0.021484;0
0;-0.052734;1
0;-0.015137;2
0;-0.076172;3
0;-0.072266;4
0;-0.036133;5
0;-0.11377;6
0;-0.131348;7
1;-0.125;8
1;-0.214844;9
1;-0.091309;10
1;-0.103516;11
1;-0.169922;12
1;-0.201172;13
1;-0.228516;14
1;-0.287598;15
1;-0.401367;16
1;-0.60498;17
1;-0.901367;18
1;-1.287598;19
1;-1.782715;20
1;-2.357422;21
1;-2.916016;22
1;-3.390137;23
1;-3.83252;24
1;-4.478516;25
1;-5.161133;26
1;-5.797363;27
1;-6.546387;28
1;-7.018555;29
1;-7.524902;30
1;-8.203613;31
1;-8.852539;32
1;-9.337402;33
1;-9.790039;34
1;-9.936035;35
1;-9.517578;36
1;-9.396484;37
1;-9.143555;38
1;-8.066406;39
1;-8.524902;40
1;-9.257324;41
1;-8.600098;42
1;-8.241211;43
1;-8.711426;44
1;-9.05127;45
1;-8.896484;46
1;-9.148926;47
1;-9.052734;48
1;-9.037598;49
1;-9.347656;50
1;-9.555176;51
1;-9.616211;52
1;-9.475098;53
1;-9.047363;54
1;-9.496094;55
1;-9.464844;56
1;-9.512695;57
